"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
804,15,"BASAURI",2020,40,"CARGA VERTICAL","ENVASES LIGEROS","509218,91","4787515,66",0,23
805,15,"BASAURI",2020,42,"CARGA VERTICAL","ENVASES LIGEROS","509106,39","4787374,23",0,23
806,15,"BASAURI",2020,44,"CARGA VERTICAL","ENVASES LIGEROS","508815,97","4786956,1",0,23
807,15,"BASAURI",2020,45,"CARGA VERTICAL","ENVASES LIGEROS","508640,78","4786936,99",0,23
808,15,"BASAURI",2020,46,"CARGA VERTICAL","ENVASES LIGEROS","508518,14","4786954,2",0,23
809,15,"BASAURI",2020,47,"CARGA VERTICAL","ENVASES LIGEROS","509448,75","4787297,22",0,23
810,15,"BASAURI",2020,48,"CARGA VERTICAL","ENVASES LIGEROS","509257,74","4787299,35",0,23
811,15,"BASAURI",2020,49,"CARGA VERTICAL","ENVASES LIGEROS","509215,28","4787375,14",0,23
812,15,"BASAURI",2020,50,"CARGA VERTICAL","ENVASES LIGEROS","508380,99","4787076",0,23
813,15,"BASAURI",2020,51,"CARGA VERTICAL","ENVASES LIGEROS","509768,94","4787271,1",0,23
814,15,"BASAURI",2020,52,"CARGA VERTICAL","ENVASES LIGEROS","508710,97","4787230,7",0,23
815,15,"BASAURI",2020,53,"CARGA VERTICAL","ENVASES LIGEROS","509275,36","4787157,13",0,23
816,15,"BASAURI",2020,54,"CARGA VERTICAL","ENVASES LIGEROS","509078,15","4787239,65",0,23
817,15,"BASAURI",2020,55,"CARGA VERTICAL","ENVASES LIGEROS","508973,44","4787370,21",0,23
818,15,"BASAURI",2020,56,"CARGA VERTICAL","ENVASES LIGEROS","509301,06","4787319,92",0,23
819,15,"BASAURI",2020,57,"CARGA VERTICAL","ENVASES LIGEROS","509306,16","4787091,31",0,23
820,15,"BASAURI",2020,58,"CARGA VERTICAL","ENVASES LIGEROS","509692,6","4787271,65",0,23
821,15,"BASAURI",2020,59,"CARGA VERTICAL","ENVASES LIGEROS","509799,15","4787385,82",0,23
822,15,"BASAURI",2020,61,"CARGA VERTICAL","ENVASES LIGEROS","509949,31","4787242,07",0,23
823,15,"BASAURI",2020,62,"CARGA VERTICAL","ENVASES LIGEROS","509004,62","4787673,12",0,23
824,15,"BASAURI",2020,63,"CARGA VERTICAL","ENVASES LIGEROS","509269","4787673,7",0,23
825,15,"BASAURI",2020,64,"CARGA VERTICAL","ENVASES LIGEROS","509059,28","4785952,95",0,23
826,15,"BASAURI",2020,65,"CARGA VERTICAL","ENVASES LIGEROS","509011,42","4787139,95",0,23
827,15,"BASAURI",2020,66,"CARGA VERTICAL","ENVASES LIGEROS","509951,05","4787243,69",0,23
828,15,"BASAURI",2020,67,"CARGA VERTICAL","ENVASES LIGEROS","509181,43","4787361,97",0,23
829,15,"BASAURI",2020,68,"CARGA VERTICAL","ENVASES LIGEROS","509551,83","4787407,18",0,23
830,15,"BASAURI",2020,69,"CARGA VERTICAL","ENVASES LIGEROS","509737,3","4787231,89",0,23
831,15,"BASAURI",2020,70,"CARGA VERTICAL","ENVASES LIGEROS","509427,3","4787138,89",0,23
832,15,"BASAURI",2020,72,"CARGA VERTICAL","ENVASES LIGEROS","509536,7","4787014,58",0,23
833,15,"BASAURI",2020,73,"CARGA VERTICAL","ENVASES LIGEROS","509630,53","4787195,48",0,23
834,15,"BASAURI",2020,74,"CARGA VERTICAL","ENVASES LIGEROS","509694,08","4787526,19",0,23
835,15,"BASAURI",2020,75,"CARGA VERTICAL","ENVASES LIGEROS","508298,6","4787307,77",0,23
836,15,"BASAURI",2020,76,"CARGA VERTICAL","ENVASES LIGEROS","509091,78","4785520,29",0,23
837,15,"BASAURI",2020,77,"CARGA VERTICAL","ENVASES LIGEROS","509138,66","4785727,65",0,23
838,15,"BASAURI",2020,78,"CARGA VERTICAL","ENVASES LIGEROS","509272,83","4785582,72",0,23
839,15,"BASAURI",2020,79,"CARGA VERTICAL","ENVASES LIGEROS","509054,6","4785791,24",0,23
840,15,"BASAURI",2020,80,"CARGA VERTICAL","ENVASES LIGEROS","509100,94","4785911,34",0,23
841,15,"BASAURI",2020,81,"CARGA VERTICAL","ENVASES LIGEROS","508983,24","4785806,24",0,23
842,15,"BASAURI",2020,82,"CARGA VERTICAL","ENVASES LIGEROS","509188,68","4785386,5",0,23
843,15,"BASAURI",2020,83,"CARGA VERTICAL","ENVASES LIGEROS","509246,6","4785806,16",0,23
844,15,"BASAURI",2020,84,"CARGA VERTICAL","ENVASES LIGEROS","509317,53","4785391,77",0,23
